"","V1","V2","V3","V4","V5","V6"
"1",17.766185975304,1067.85592622972,5,0.2,0,42.8778573876946
"2",15.9822539395576,87.9572474655305,2.3,0,0,39.9050090525626
"3",16.3528214830362,1454.71593276928,3.7,0.2,0.1,37.5284592017777
"4",16.3507910708099,155.196860614865,3.9,0,0,36.2616780983205
"5",16.5507589305779,1276.3420524,5.3,0.1,0,38.425055457516
"6",18.1286194460214,184.219827515396,5.1,0,0,43.0449275427856
"7",17.0531033631362,2076.68606659675,4.8,0.3,0,38.9248569061733
"8",18.2606512171954,970.943752039441,4.5,0.1,0,48.5218485719858
"9",15.0895647761456,449.769033486375,3.7,0.1,0.1,30.3560821628415
"10",17.8047738365045,152.819778960365,4.3,0,0,43.4819722188092
"11",17.7849706114029,1780.19238151882,4.6,0.2,0.2,43.6867584327612
"12",17.5450136660306,1102.57217629862,5.8,0.1,0,42.6166208632153
"13",17.7916425465667,179.20702572975,5.1,0,0,40.8651186177786
"14",18.6626696388099,570.382273686329,5.7,0.1,0,47.6826411979045
"15",17.1507609418144,1231.50723996771,4.7,0.1,0,39.6906077833378
"16",18.0593004552199,94.2588156635111,2.6,0,0,45.3904901466087
"17",16.9232990204751,753.376180140043,3,0.1,0.1,40.7332605532723
"18",17.8634211314017,968.801296892328,4.1,0.1,0,43.7190960113208
"19",18.9285882414216,455.330531121703,5.6,0.1,0,47.646681884439
"20",17.3935894662474,500.604408031799,4.2,0.1,0,42.135489971028
"21",17.8974941748099,783.454460158744,4.3,0.1,0.1,43.5016324597891
"22",17.9303139244882,1382.57116205257,3.3,0.2,0.1,45.1537151593384
"23",18.5005170814564,334.871284288602,4,0.1,0,45.4510113241196
"24",17.4148973908641,488.201852720044,5.5,0.1,0,40.9462955612523
"25",19.0070614251888,342.787682132708,5.1,0.1,0,48.3691748987814
"26",17.8399562527796,1083.15983056056,4.8,0.3,0,41.4595454396474
"27",18.0862961913377,1597.68763661281,5.9,0.3,0.1,44.9640258684996
"28",18.4884475292521,143.497714038305,4.2,0,0,44.5416589153646
"29",18.8603555302388,142.671995439574,3.7,0,0,46.3863261934778
"30",18.2479029458518,647.698077400487,5.6,0.2,0,42.3212768568495
"31",18.4668862201975,395.219616890294,3.9,0.1,0,44.4809474161759
"32",18.0427436461908,566.108764878215,5.7,0.1,0,42.4593549989526
"33",17.8030642638515,176.628765296132,5.1,0,0,41.6851382876555
"34",17.7415508630682,1034.75056016077,4.9,0.2,0.1,41.6543661258094
"35",17.3601448181525,521.124511639801,5.4,0.1,0,39.827485046904
"36",18.1811491394448,437.378026127346,3.6,0.2,0,45.2513481298503
"37",17.9678142266685,720.126640571359,4.9,0.2,0,42.9686086931567
"38",18.4514507463821,324.562334348285,3.6,0.1,0,46.2255227223604
"39",18.5336043908965,370.078692311363,5.2,0.1,0,44.6826315365004
"40",19.0910389204938,180.787872121292,5.5,0,0,48.7010172553743
"41",17.9304594163187,759.280655355564,4.6,0.1,0,41.4446950106894
"42",17.0041912464956,1546.71991559114,5.1,0.2,0,40.0339495425772
"43",19.1754018081236,170.119832800591,4.8,0,0,49.3764599647096
"44",17.5805189818884,175.466743519829,5.3,0,0,43.8412357080307
"45",17.8450398739749,450.894572938312,4.7,0.1,0,43.1503573195453
"46",17.3112439936724,166.550769245176,4.8,0,0,38.4988940522434
"47",18.343000993506,2731.41030383041,4.6,0.1,0.1,43.9162239478599
"48",16.5095860433295,376.055154326342,3.3,0.1,0,40.8849518506639
"49",18.5785416975501,404.987090740603,4.5,0.1,0,44.8766966328713
"50",18.4538243232885,435.671328853086,4.5,0.1,0,45.0258999608835
"51",16.3749472558881,1559.72201732317,4.6,0.1,0,37.941944031714
"52",18.0357762369953,1910.8603811538,4.7,0.2,0.1,42.5368836867109
"53",19.01436338837,888.068249644499,4.3,0.1,0.1,51.2310287820449
"54",17.8804097630102,417.864376910263,5.5,0.1,0,40.9822452619011
"55",17.2849141725052,970.959424425869,4.4,0.1,0.1,38.9479658098968
"56",17.1372277326569,900.557552301902,3.6,0.1,0,39.9274118490517
"57",16.1469917684731,1676.20848919488,3.9,0.1,0,39.600305467518
"58",17.9375285647021,886.569371003865,5.4,0.2,0.1,42.1231602281454
"59",17.0780139584694,2339.05951408743,4.4,0.2,0.1,39.0393853910895
"60",18.140597503703,190.541241109199,5.5,0,0,43.9530146110737
"61",18.0549886590331,173.201435434525,4.9,0,0,43.4962025510604
"62",17.6892634734367,167.115160572347,4.9,0,0,41.4140154584565
"63",16.3574072468062,1594.87739594567,3.2,0.2,0,37.8231328620102
"64",17.0297575678113,1176.18552069256,5.4,0.1,0,37.9387322373245
"65",17.1967119675855,403.768634047474,5.3,0.1,0,38.5916937838821
"66",17.1282798764938,1875.44100212448,4.5,0.2,0,41.1538654513335
"67",18.3222350099143,1438.36101984015,3.9,0.2,0.1,48.2711356746593
"68",18.0586432421879,202.028074914146,5.3,0,0,42.2974039921285
"69",19.0375841165289,149.969639985138,3.9,0,0,48.468695412704
"70",17.8926266260573,888.455503612793,4.3,0.1,0.1,42.9873389654296
"71",15.516160918943,91.379395827299,2.4,0,0,34.5128082701692
"72",15.4023445187992,3160.19623473572,5,0.3,0.2,35.7263743044071
"73",15.5668104083318,3103.091933716,4.4,0.2,0,37.7102953264956
"74",18.8792469108036,154.229143429817,4.4,0,0,47.8670462925864
"75",18.1224633933633,486.315181202103,4.8,0.1,0.1,44.6630226295303
"76",17.0230503252169,1953.45669748181,4.8,0.3,0,40.4572891660438
"77",16.9313302863253,2541.78927192449,5.6,0.4,0.1,39.3878363405878
"78",17.7712280463469,391.683626339264,5.8,0.1,0,46.0531342043065
"79",16.9718134936934,1506.47450478055,4.1,0.2,0,39.4804259921002
"80",18.5509329913765,274.957060752668,3.3,0.1,0,46.1046794893366
"81",18.6192955936189,160.433509733289,4.3,0,0,44.5306453633821
"82",17.7233897055316,973.019397880867,4.8,0.1,0.1,42.6301759925233
"83",17.2706651276211,785.474786683702,3.7,0.1,0,42.1165522716994
"84",18.302376806794,726.705165405358,3.9,0.2,0,45.5353071259572
"85",18.0802143877899,521.68562154096,5.9,0.1,0,41.6176734504773
"86",17.4184598050334,928.155467657853,4.3,0.2,0.1,45.7106437444299
"87",16.7930445262242,1639.26169386139,5.3,0.2,0.1,41.4106582053125
"88",16.6608664011855,1347.23040497232,3.9,0.2,0.1,37.3327523627257
"89",18.170118930469,898.277363864814,5.1,0.1,0.1,42.8467373118614
"90",18.484495823812,501.557669009256,4.4,0.1,0,44.2773881428065
"91",18.8761062960328,162.819995606649,4.8,0,0,47.9044704181561
"92",15.4323013169858,175.270793750004,4.9,0,0,33.5312295155916
"93",18.1111659897115,830.192891941384,6,0.1,0,44.1559901918002
"94",18.4665408739306,215.64536237386,6.6,0,0,45.7966615201492
"95",19.3161653457329,681.133489887818,4.5,0.1,0.1,53.0617075624781
"96",18.3287007471557,966.817753495755,4,0.1,0,46.4812865693465
"97",15.2901733710486,1228.3467309554,4.2,0.1,0,33.1449752443682
"98",18.1266833474504,174.428182730798,5.1,0,0,42.1707478543386
"99",16.4471207150067,1135.46421813911,4.4,0.1,0,37.0248507185796
"100",18.4185713632487,406.70955033536,5.4,0.1,0,44.6666501841081
"101",16.5905008440051,1355.05128871585,4.8,0.1,0,37.3873857895402
"102",14.5274651566991,1532.77230195474,4.2,0.1,0,30.9050192350181
"103",17.3075941755075,1086.11487219848,4.8,0.1,0,42.3464009911137
"104",18.1373400172408,180.364095809032,4.7,0,0,44.2304210313809
"105",17.4662695787426,735.154108836381,4.7,0.1,0.1,39.8688836319531
"106",16.7824227565701,875.495734804866,4.1,0.1,0,37.6651342409657
"107",17.7432338893274,198.626833747723,5.2,0,0,41.282000085166
"108",17.8414183535109,851.837250534003,4.2,0.2,0,41.7592766524871
"109",15.18965093892,2362.82045524718,3.1,0.2,0,37.2755422680699
"110",18.1112451536582,383.022282207926,4.1,0.1,0,42.3739615301848
"111",17.4726621130335,1620.41970153459,3.8,0.1,0,45.5886449571005
"112",17.6344265931596,772.859734317225,4.2,0.1,0,40.9231318552308
"113",17.6458802078877,517.769665505776,4.1,0.1,0,40.7249477999639
"114",18.6304442083577,327.401161125298,5.3,0.1,0,46.3252605599031
"115",16.0830931893018,2472.641338056,4.4,0.3,0,37.8639978899882
"116",18.1327407299946,116.878982115926,3.2,0,0,42.5650243132037
"117",16.6804090848843,908.811398440449,4.4,0.1,0,38.881408646503
"118",17.6537099498136,283.604588834175,3.3,0.1,0,43.0712736903121
"119",18.60061107312,154.816625627587,4,0,0,46.9523056347171
"120",16.9064933122825,1052.18251354,4.5,0.2,0.1,39.2382728793222
"121",17.386930793869,180.239320190253,5.3,0,0,40.3113046825367
"122",17.687149844476,1213.13951328838,3,0.1,0,43.175353474774
"123",18.8357217925001,674.159435823061,3.9,0.3,0,47.627616073656
"124",17.7176389262228,120.644421329584,3.6,0,0,41.5515814027208
"125",17.1581795583921,343.074612025106,3.8,0.1,0,38.2591000909509
"126",17.3193695467828,1578.77296415402,4.7,0.4,0,39.7421826653865
"127",17.5542143806664,163.707159493714,4.3,0,0,39.8976521537691
"128",17.0517748953086,2034.82683933342,5,0.3,0.1,41.4840371408447
"129",18.3512826828462,1219.01020056254,5.6,0.1,0.1,44.2181455835425
"130",18.6803508663098,264.314032430277,2.8,0.1,0,45.1074489904349
"131",17.936221087652,744.549631899695,4.2,0.1,0.1,42.8650555588003
"132",16.8536588072034,457.105673306025,4.3,0.1,0,39.4815302145799
"133",16.7983560912785,127.274065600952,3.7,0,0,39.6951344194786
"134",15.1555747121497,2444.88077588147,3.7,0.3,0,34.5330483926124
"135",18.6397514827701,223.156477777333,5.9,0,0,45.0090394532538
"136",19.0876348665997,280.542935759664,4.6,0.1,0,48.3627241214092
"137",17.7726123373642,5088.58016912293,4.6,0.3,0.1,42.4205092991685
"138",17.7246793018231,137.279680342093,4,0,0,42.5696993712035
"139",17.1455248402862,2365.16111858013,4.2,0.1,0.1,39.8883702628961
"140",17.9840611718324,146.137116360376,4.3,0,0,41.9554640572332
"141",15.9965956476207,3381.62445800618,4.2,0.2,0.1,37.1537414208798
"142",15.6089255906091,2296.14198328366,7.2,0.3,0,35.0555817317119
"143",17.9477985015353,550.672677434809,4.1,0.1,0,42.3287301076158
"144",18.6002543222746,202.951239504896,5.8,0,0,45.0873151301057
