"","V1","V2","V3","V4","V5","V6"
"883",16.9567587142247,546.113091319667,0.4,0.2,0,38.2546043361905
"884",17.1252024385501,1968.78807022693,1.1,0.2,0,41.7791817530664
"885",18.8821936343976,54.7086993760063,1.4,0,0,47.660002892201
"886",16.4466637567533,2321.56188693643,1.3,0.4,0.1,39.2176918479574
"887",18.8030687315619,61.5994798056787,1.6,0,0,46.4007209390845
"888",17.0651348502712,326.31739883506,1.2,0.1,0,38.4649090679851
"889",18.7866093984616,45.37692821451,1.3,0,0,46.7946637187173
"890",16.911461584614,1344.38233621584,1.1,0.1,0,40.6701393197314
"891",18.1744376319743,1885.72506160102,1.5,0.2,0,49.9794578723203
"892",17.752691531199,287.650818829703,1.2,0.1,0,42.6992802509728
"893",17.1086780819789,1847.59647336433,1.2,0.3,0,41.0282914420687
"894",18.3065700899684,63.7754584181321,1.6,0,0,44.2511150566277
"895",17.1511745806073,56.2956908529824,1.2,0,0,37.2594882998741
"896",19.0363513701338,31.5953673551652,0.9,0,0,48.7729630094344
"897",18.06018107669,283.285826175848,1.4,0.1,0,41.5851329971236
"898",17.7056545338471,2821.1561956648,1.1,0.3,0.1,44.9944443512873
"899",17.6353349951881,727.887259505434,0.9,0.1,0,44.3264502137918
"900",18.9968959164766,59.1584890738548,1.7,0,0,48.9766650158697
"901",17.9582155726631,1859.32978560815,1.5,0.2,0.1,46.133889668243
"902",18.1286724931218,887.185036542187,1.3,0.1,0,43.9923284675536
"903",17.603654636205,27.5631217186896,0.8,0,0,42.82320611198
"904",16.7687244410688,21.8460521322961,0.6,0,0,40.6515799197695
"905",18.3946708761231,296.081803825945,0.9,0.1,0,43.9900785132719
"906",16.3143031951332,1519.30555671219,1,0.2,0,38.3047488872204
"907",16.6516934208424,43.6921042645922,1.2,0,0,37.8747259767405
"908",16.3652169917588,2721.22042291962,0.8,0.2,0.2,40.5797365142692
"909",17.2165498769832,1063.48047609517,1.1,0.2,0.1,40.5997489531565
"910",16.6493787700772,35.6276129916409,1,0,0,36.0712765859383
"911",16.7253590324606,2119.53770629385,0.9,0.3,0,41.4474326792869
"912",18.5308261542962,233.490499040339,0.5,0.1,0,45.6997842341451
"913",18.8712376206599,25.8782977687718,0.7,0,0,46.7438163293042
"914",18.0855130895662,50.5828846942646,1.4,0,0,43.1817176837841
"915",16.9440679209136,1082.18728414501,1.1,0.1,0,43.1022701398415
"916",18.5417621321621,746.691580867431,1.1,0.2,0,47.1551032440511
"917",17.1643323318163,548.050552786375,1,0.2,0,38.7446073682801
"918",18.0916853241499,52.2677086441824,1.5,0,0,43.7229333828317
"919",18.3027067620411,547.300032512749,0.9,0.2,0,44.3066134102005
"920",16.758089381206,989.630851406655,1.1,0.1,0,36.6901014643095
"921",18.7654474566262,795.241860429761,1.6,0.3,0,45.9347610754946
"922",17.1676589183923,360.085908019854,1.3,0.1,0,41.2529793036762
"923",17.5667791326353,54.7086993760063,1.4,0,0,39.5032294568924
"924",16.6443147858118,1276.29086958434,1,0.1,0,39.3124921799868
"925",18.1400496386171,50.5828846942646,1.4,0,0,43.1407799342284
"926",17.4730809179533,598.106876944133,1.4,0.2,0,41.5613050320679
"927",16.9372796698046,661.223501524488,1.1,0.1,0,39.5640590333627
"928",17.6477923843703,38.4861477848376,1.1,0,0,42.1052543790912
"929",15.8480972281282,3826.55250046868,0.9,0.4,0.2,37.7658819815429
"930",18.2460104250906,28.7368325619685,0.8,0,0,44.1381524991241
"931",19.033122621834,48.9916297896128,1.2,0,0,49.7770866032774
"932",17.283062661983,1088.53380896664,1,0.2,0,41.2766175775681
"933",18.5055234166201,68.490260235351,1.8,0,0,44.647812970815
"934",16.4171660604023,39.6598586281166,1.1,0,0,38.4959858275963
"935",18.1556949435218,837.796389237437,1.5,0.1,0,44.9189248441913
"936",17.4750686740146,253.821830387056,0.8,0.1,0,41.2226088632338
"937",18.1994772618332,896.738107994913,1.5,0.1,0,45.4104455508833
"938",17.9895257102572,337.113811788656,1.6,0.1,0,40.5359052035974
"939",15.8308538980658,1120.4522595886,0.7,0.4,0,32.8500942443181
"940",18.7046561738039,48.2354630077068,1.4,0,0,48.0172948240165
"941",17.5553101474936,223.7081637314,1.2,0.1,0,43.5133224102801
"942",17.3482731064694,835.710446885824,1.3,0.1,0,40.9328136740042
"943",17.2532852900464,2298.64834818035,0.7,0.2,0.1,45.7099445693228
"944",17.433105023679,699.245078917052,1,0.1,0,40.7030104075128
"945",16.6108670885163,1032.25826485961,1,0.1,0,39.0094929477802
"946",18.3142166870745,28.7368325619685,0.8,0,0,44.7242336577335
"947",16.8484986911957,2203.36997263975,0.9,0.3,0,39.1415744308712
"948",18.0372990966181,276.269175615092,1.5,0.1,0,44.9349200979997
"949",16.6053474305987,1345.78960830063,1,0.2,0,39.5181540265405
"950",17.6417570538687,298.946535906637,1.6,0.1,0,39.7992740439772
"951",17.8023688195397,996.909441739002,1.1,0.2,0,40.9098094025123
"952",17.3136922614158,1064.69868949386,1.2,0.1,0,41.6426722172822
"953",17.3832380678853,996.503336732956,0.9,0.3,0,41.3986536485172
"954",18.6285893357687,44.2768279723938,1,0,0,47.8731610585807
"955",15.8369612896052,1288.68623787028,1.4,0.2,0,33.8207192361911
"956",18.3965444557563,296.555364254331,0.9,0.1,0,44.1735679003516
"957",17.8960532835848,49.4091738509857,1.4,0,0,41.5125332600407
"958",17.8481882025486,448.929925054232,1.2,0.2,0,43.3659804105416
"959",17.2284952178018,260.176132572377,1,0.1,0,37.9169402733323
