"","V1","V2","V3","V4","V5","V6"
"1",15.0974233314775,1896.3145000851,2.5,0.2,0,34.028008419029
"2",17.7894207901806,206.777806383977,5.8,0,0,40.4005106115871
"3",16.4960571850285,1804.51413310524,2.7,0.1,0,41.9314497567006
"4",18.6981117122598,154.616372725382,4.2,0,0,46.9833152065967
"5",17.5471399609621,884.088308545376,5.4,0.1,0,41.3124763121621
"6",17.318553135034,166.521236293983,5.2,0,0,39.818416626588
"7",16.7668953649438,1933.79760816645,8.1,0.3,0,37.6041424153118
"8",16.7255224724057,2491.91906419693,7.4,0.2,0.1,38.2626132092384
"9",18.5247393328972,80.1765616772563,2,0,0,45.4107109749618
"10",18.2005788435738,995.827388387885,3.4,0.1,0,47.3945257119052
"11",17.9235030690071,114.48341609718,3.2,0,0,45.1381288293531
"12",18.2723248167736,352.252046642571,3.2,0.1,0,45.407380563169
"13",16.482800136619,3074.50379330489,4.5,0.3,0,39.1978260956678
"14",16.6717259439468,701.410275165424,2,0.1,0,36.9352597059875
"15",17.5703292670122,431.20946803692,8.4,0.1,0,40.5591916685669
"16",15.8169440108582,3169.67766237321,3.9,0.4,0,37.8062967237687
"17",16.1927215046254,1199.441431632,4.1,0.1,0,35.4443972196731
"18",18.2236899303171,141.569352547316,4,0,0,43.682606840176
"19",16.8951639361494,1863.45446422436,5.9,0.2,0.1,42.2886254516558
"20",19.4482553099253,99.6517747977816,2.9,0,0,50.9606885868836
"21",16.2171643145234,1366.15225614649,6.6,0.1,0,39.3906950779548
"22",17.4181183200996,160.950436296475,2,0.1,0,42.8023651456402
"23",19.0993547941593,63.5349945424451,1.8,0,0,48.4627314249975
"24",16.8530552123337,662.601482385677,2.6,0.2,0,37.7878291621553
"25",16.0937639705398,370.741897096015,3.3,0.1,0,35.4550039818393
"26",17.7174073405422,1036.7713987009,2,0.2,0,42.0654497726901
"27",17.5427891620433,798.65934221009,6.1,0.1,0.1,41.7557978382729
"28",16.1930490038518,866.465606332004,3.3,0.1,0,36.4321304269107
"29",16.9040583675526,2298.39616050331,2.2,0.3,0,39.71588589926
"30",18.1226654603965,604.233228981257,1.9,0.2,0,42.912526853557
"31",16.8970087273962,1501.32308313403,2.9,0.3,0,39.4401752692114
"32",17.3455533317015,2257.40844881661,4.7,0.1,0.1,43.3008759281778
"33",18.2888523501717,1428.22736552354,4.9,0.3,0.1,45.8389477873104
"34",18.7835080771865,282.536643846242,2.9,0.1,0,47.2184379683068
"35",16.8931251543866,1984.01891010596,1.3,0.2,0,42.6659568549608
"36",17.1253694765532,864.389108319633,1.9,0.1,0,41.3404551257956
"37",16.0713876282758,2146.94122195797,4.3,0.1,0,38.5294187251411
"38",16.6484646997568,1706.63894772564,2.9,0.2,0,36.9823651455357
"39",16.7990388275357,891.77979514299,5,0.1,0,36.9415290188906
"40",18.6659807671161,167.790197739873,4.7,0,0,45.6251065479536
"41",18.3042881829188,900.252776516454,4.1,0.1,0,44.674952392939
"42",15.9961858085336,1455.29806474768,4,0.1,0,34.2944731176531
"43",18.6363470597503,413.787475421601,5.8,0.1,0,46.0011538029082
"44",18.3663736989703,746.49531574113,3,0.1,0,44.7790616487528
"45",18.276405725659,1634.39735008527,4.3,0.4,0,45.8227317178944
"46",16.2276521272956,522.419033581125,2.2,0.2,0,37.6516511453784
"47",15.1991898464183,2232.15725615006,5.5,0.2,0,33.4624993833431
"48",18.3020380513644,121.929035023503,3.7,0,0,44.3209024585639
"49",17.6613994309204,440.924589887602,4.7,0.1,0,42.8667943789777
"50",16.8071044684091,1840.3238779523,6.3,0.3,0.1,38.0781843828481
"51",18.6097987109167,142.371437401026,4.2,0,0,46.2285697904104
"52",16.6125054746418,85.4875253302879,2.6,0,0,38.853160511132
"53",17.000259148969,125.138910228928,3.7,0,0,40.2048773997219
"54",18.4222778572558,189.004506404368,5.3,0,0,45.7955729078608
"55",17.8269784131393,325.801480712829,2.5,0.1,0,42.2833922631556
"56",18.1597413221014,233.450791177171,7.3,0,0,42.5644993720482
"57",16.3431248048932,1921.01500960937,3.9,0.3,0.1,37.8095245743036
"58",17.0503010587617,154.488301338643,0.7,0.1,0,38.9423699730323
"59",16.804991679445,1490.33845221767,2.9,0.1,0,40.3838897803401
"60",18.4983157453841,449.695276466443,7,0.1,0,46.631787549167
"61",18.4430044956747,139.826756238087,4,0,0,46.6638200155962
"62",17.6788932213813,1328.55094696069,4.4,0.1,0,43.925690161517
"63",16.2778737482784,1566.47009225486,1,0.1,0,40.5089555893433
"64",15.9697114827362,2602.31051343551,7.7,0.3,0.2,34.6092574883524
"65",17.1613007008246,1961.75114708529,4.7,0.2,0.1,40.7434439351696
"66",19.0197419492986,444.044032762909,5.5,0.1,0,48.6008174407406
"67",19.2629762630091,392.539918414573,3.7,0.1,0,49.9163023003398
"68",18.3544187148819,274.907379305769,3,0.1,0,43.8029658421521
"69",17.9059859024327,1123.97696488739,2.8,0.1,0,43.8626152607822
"70",17.2148800693371,1567.37974115541,7.8,0.1,0,40.4761053180417
"71",16.9600756058594,1355.55191521544,5.3,0.2,0,39.0418802066043
"72",17.6501864050684,346.870591122875,4.5,0.1,0,43.6316856465977
"73",17.792101836386,112.991118822399,3.2,0,0,46.3226940768088
"74",17.7088618050255,316.318001813886,2.9,0.1,0,42.7231042785161
"75",16.7083675913652,1513.25537007103,2.8,0.2,0,38.4687367699835
"76",17.6698341285694,966.00456022135,3.2,0.2,0.1,43.7077542919267
"77",18.2528085691652,178.353386087419,5.3,0,0,43.8852326881889
"78",17.4959722362418,854.542174458717,2.2,0.1,0.1,41.6983078575901
"79",18.480349419958,865.536127733709,2.9,0.1,0,47.098359247123
"80",17.4280256830475,161.346046715019,4.2,0,0,41.2022335238151
"81",17.6006459125094,1461.46437012094,5.6,0.2,0,42.4254570310714
"82",17.4966889943474,625.938611953462,5.2,0.2,0,42.9419147826167
"83",17.569865899582,900.946284308177,4.4,0.1,0,43.3319767018147
"84",18.3297639680608,145.902205463127,4.1,0,0,43.6920576421547
"85",16.3906991321871,2096.98536345519,2.5,0.3,0.1,36.629891416658
"86",15.6878870304203,1092.24891442618,2.7,0.2,0,33.3077326960684
"87",16.8614266297207,1281.08749331403,8.4,0.2,0.1,37.859225556301
"88",18.5132379440511,139.090219793221,4.2,0,0,45.8317923254431
"89",17.9229520708356,177.395576028729,5.3,0,0,41.6294811161719
"90",19.5548235481366,248.66487230621,7.5,0,0,52.216668960498
"91",18.0259351740141,852.822264557134,3.1,0.3,0,42.7699302976307
"92",17.7771748799797,1284.18962659394,4.8,0.1,0,45.4150883925317
"93",16.8036659627776,345.629549083889,4.9,0.1,0,36.9348107547668
"94",16.0818434921428,2364.65743268901,0.7,0.4,0,36.7030437274019
"95",16.6473769341348,858.597810051966,3.4,0.1,0,36.7187877530538
"96",18.3205315892177,390.36552418892,6,0.1,0,45.1776511479998
"97",16.8219436103393,1231.23008375545,3.9,0.1,0,38.1917187461352
"98",18.0992528102265,716.733449391928,7.5,0.1,0.1,44.3150535305265
"99",17.9955838985148,1120.76521179568,8.9,0.1,0,43.5967621645956
"100",17.9703233744242,1217.44014663903,7.6,0.2,0,45.1992559593573
"101",17.176389667602,1088.80272591415,3.6,0.1,0,42.1774096662329
"102",16.1835960540067,1452.03329849094,1.4,0.1,0,38.5675223198987
"103",17.110362217919,934.609270662398,5.6,0.1,0,40.0717420777417
"104",16.24557657354,2565.33154100385,0.1,0.2,0,38.5440063396227
"105",14.9577971513293,159.952325702976,4.9,0,0,32.5179038700844
"106",18.2061436502257,344.061858723622,4.5,0.1,0,43.4461378855134
"107",18.1183196405413,76.2608891490315,2.1,0,0,43.6207885218366
"108",15.0411293141661,2684.75628080327,4.3,0.3,0.2,33.1779551645215
"109",17.4693619234387,118.160262984885,3.5,0,0,46.0092094239366
"110",16.7909031771939,1051.07474270696,6.6,0.1,0,36.6891625347975
"111",18.1586311992483,151.768643141242,4.4,0,0,42.8432997251318
"112",17.5769151844826,194.31389942384,1,0.1,0,43.9411507715001
"113",16.3118308659251,1922.27181425597,1.8,0.2,0,39.1618557727921
"114",17.9807548727198,1184.32023882685,2.7,0.1,0,46.0296008136878
"115",19.1847327829496,159.787807311908,4.6,0,0,50.5307139898929
"116",19.2575015745744,219.3962016366,6.6,0,0,49.3112877689764
"117",17.9796000426609,3016.56681331577,10.4,0.3,0.3,45.5379830687715
"118",16.98641197436,1853.83679745651,6.8,0.1,0,43.043247740926
"119",15.6025759429392,434.441327116714,3.8,0.2,0,40.4518630520279
"120",15.8856446248527,1402.02897238317,3.9,0.2,0,33.7586055915231
"121",17.073272887666,1300.96305129214,3.2,0.2,0,38.7098513646182
"122",17.6282140786855,181.498473250215,5.4,0,0,40.6591897676921
"123",15.5547923828262,3094.90369015914,6.9,0.4,0.2,33.7879472151525
"124",17.0126194485618,2505.92838025546,0.9,0.3,0,41.9725556859571
"125",16.2102045953322,1532.37619753007,0,0.1,0,40.0234802065833
"126",16.5671322286143,245.706987170092,0.7,0.1,0,38.2573144380382
"127",18.7871986155663,113.405718935843,3.5,0,0,47.7159721306096
"128",19.0777290438317,255.690835662043,1.3,0.1,0,50.630457027126
"129",18.299544462988,83.9076936840807,2.5,0,0,45.41807036339
"130",18.3312501512377,312.662508185126,4.7,0.1,0,43.7060583226909
"131",17.7734338713269,97.2898632283575,2.7,0,0,41.8781915385132
"132",15.1868178992817,2862.37373652006,2.1,0.3,0,37.1888296564909
"133",18.783337451554,78.6285381796468,2.4,0,0,48.7123047001226
"134",15.627894892706,3409.11550204092,2.7,0.3,0.1,38.5769054458021
"135",16.5473868832004,196.753322554598,5.4,0,0,35.0332448607922
"136",16.2868579651173,2637.54652410579,1.8,0.3,0.1,38.6513532303322
"137",18.7266115066822,785.995522761752,4.5,0.1,0,47.2168287083906
"138",18.3596001318311,523.902336147275,5.3,0.1,0,43.0244384529112
"139",17.4307083829528,61.1786053756342,1.8,0,0,41.7562626733419
"140",16.4053580919494,1615.70829125922,2.3,0.2,0,37.9386970581336
"141",18.3106875877917,219.174781462726,6.7,0,0,46.5369003687374
"142",17.2408923093616,2394.64474459003,8.6,0.3,0.1,41.1819277159037
"143",17.9109432042342,117.20760464,3.4,0,0,42.5672253456423
"144",17.7651487847743,1116.81152218447,2.4,0.1,0,47.1191698656732
"145",17.7618488204074,86.9380494648287,2.5,0,0,44.6445334345296
"146",16.5796014470105,48.2016672413787,1.5,0,0,39.211723320183
"147",18.0111386843037,125.609762527307,3.9,0,0,43.0350930716732
"148",17.384771623995,1764.41100621646,4.4,0.1,0,42.3801002035651
"149",17.8761328116437,937.955526687455,0.5,0.1,0,43.6899490049627
"150",16.5516383860178,77.7387952177978,2,0,0,37.2564961111091
"151",18.657400897988,1109.39689085758,5,0.1,0,47.4382729762971
"152",16.7840453025465,1362.52975331926,4.3,0.1,0,40.4703689981931
"153",16.7769178235925,788.72000904956,2.7,0.1,0,37.7191670822232
"154",17.8651969103449,442.024184180285,1.6,0.1,0,43.7261797465278
"155",17.4799865869643,421.428926713879,8.1,0.1,0,40.8172527680246
"156",17.3637056638573,1016.65503057561,2.7,0.1,0,39.7792862911698
"157",15.0007829767468,1729.64078520353,3.9,0.2,0.1,36.3217673858912
"158",18.3562334709214,128.84895119407,3.9,0,0,44.9428092664536
"159",16.6818638239193,1387.24895040605,4.2,0.1,0,39.2502960199679
"160",17.3283173547574,437.036018679015,5.4,0.1,0,38.5618830032124
"161",18.4212927661675,314.153174167706,4.1,0.1,0,44.547878906119
"162",14.7584006877236,1016.11489350006,1.8,0.2,0.1,32.6868400592644
"163",18.6646512228008,190.075795009624,5.3,0,0,47.3464987628178
"164",16.4591585137452,873.955432768495,3.7,0.1,0.1,37.2768866325028
"165",17.7787571470807,36.9444003559913,1.1,0,0,42.4785393497655
"166",18.1359296190717,406.625738371182,4,0.1,0,43.4906145978325
"167",16.2022323199223,1972.10102260341,6,0.2,0.1,37.2696593017757
"168",18.7040211647306,168.907426238567,4.7,0,0,46.3267129493473
"169",17.9899970601244,104.533572631853,3.1,0,0,42.9010828045325
"170",18.0193528165654,1177.64463942953,6.1,0.1,0.1,43.0805939474567
"171",18.5350484140633,170.668682696849,5.3,0,0,45.3100955311945
"172",17.0634324841032,1173.72907448626,2.9,0.1,0.1,40.5817257189524
"173",18.0730088334368,97.726480982234,2.5,0,0,44.2563561789648
"174",18.1209742058343,482.161808634868,4.9,0.1,0,41.9837375845008
"175",16.8442903162676,936.039379441171,1.2,0.1,0,37.8586645708107
"176",17.3639293560594,109.791725275767,3.1,0,0,40.7604463824171
"177",18.0600858144739,944.862221919097,1.7,0.1,0,43.5315071222922
"178",18.217756084672,173.483907310997,5.3,0,0,43.7496554980636
"179",18.8049693359049,230.745074049331,6.6,0,0,47.9776621716197
"180",17.8739643008683,1465.5919133003,4.6,0.2,0,43.1503968870912
"181",15.2145709128193,2809.2135068912,6,0.2,0,35.9840873082397
"182",16.2444086819221,966.266446405669,3.2,0.1,0,34.3307545249208
"183",16.7349438868704,76.7931270517179,2.3,0,0,37.7522882371658
"184",17.2908378275749,1156.23084948612,2.1,0.2,0.1,41.0441239587026
"185",19.1488099092009,120.420784383798,3.2,0,0,49.1979267734783
"186",15.4420741006956,1965.02278103358,5,0.3,0,35.7232018630451
"187",17.638576928247,84.273735107969,2.4,0,0,42.021845622218
"188",18.0509936580263,136.518037135939,3.8,0,0,42.4007193895931
"189",18.5517157343467,1135.26964918692,5.2,0.2,0.1,47.4742416315896
"190",16.8035552237061,376.163046858739,6.2,0.1,0,38.0392820393318
"191",18.6918937536808,484.796428638522,7.8,0.1,0,46.3139941273127
"192",18.0671722142217,523.582583324848,5,0.1,0,42.7005137580025
