"","Strategy","meanCost","meanEffect","sdCost","sdEffect"
"1","No.Screening",1199.67765394816,14.8652257847435,101.272456766149,0.00884735608165735
"2","Risk.1",1577.42478498436,14.8996791504447,127.601310863838,0.00793130413921473
"3","Risk.2",1816.88339539855,14.9094591098614,132.305349763575,0.0104960938487386
"4","Three.yearly",1543.11072893677,14.8923150080498,126.264105935585,0.0106517196554934
"5","Two.yearly",1699.53296093461,14.9042994518937,133.238017587391,0.00921704080924306
"6","Risk.3",1561.8589757649,14.8967648957426,122.488883244284,0.00992299841730975
