"","V1","V2","V3","V4","V5","V6"
"1",16.7402829463309,1263.41046527169,3.2,0.1,0,39.7810733659607
"2",19.1081055328344,355.613765339679,3.8,0.1,0,48.4472338275658
"3",17.4485199137823,2013.72305649221,4.6,0.2,0.2,40.4924729342094
"4",17.5388921222854,355.644724484087,3.5,0.1,0,38.7671129754847
"5",18.5749281494877,485.826253177638,4.7,0.2,0,46.2055335232745
"6",19.3053225515945,472.18301266383,5.6,0.1,0,50.3792556047953
"7",18.3395030950589,477.825475391206,4.1,0.2,0,44.2236909781203
"8",15.8657188893313,1579.76649957425,3.6,0.2,0.1,34.229701722014
"9",17.6437195582176,1394.46288058749,5.4,0.1,0.1,41.4623023206732
"10",16.7339083025755,2297.82715429594,2.6,0.3,0.1,43.2963068155776
"11",18.454928135951,143.496526216013,4,0,0,45.5987250244259
"12",17.2368776577946,376.13490586765,3.3,0.1,0,39.2587288061258
"13",17.6292573750203,982.54247214167,4.7,0.1,0.1,41.2596958127388
"14",19.5257805652461,2088.5063920977,5.9,0.1,0.1,51.6289000927444
"15",16.2585408555011,2010.19000663391,4,0.2,0,36.0547856694964
"16",17.7199003374502,444.923219322064,5.4,0.1,0,41.096584631864
"17",18.5318565896974,165.116078923465,4.9,0,0,46.6317895601212
"18",17.6981439835977,595.150251772275,4.4,0.1,0,41.625931715457
"19",17.3344683884818,895.344896828854,4.2,0.1,0,41.1008455064036
"20",16.7270175411762,791.996152382285,3.7,0.1,0,39.4635489872129
"21",17.2118603694191,1338.83145976728,3.9,0.2,0,41.8196146801439
"22",18.7677684250077,169.480491736864,4.6,0,0,46.9422454850457
"23",16.8538334768058,125.449381168308,3.7,0,0,37.1580815983157
"24",17.9824864265611,594.27704233858,4.7,0.1,0,44.7686800638512
"25",18.7195204402728,510.155381905858,5.6,0.1,0,47.2452385889752
"26",16.6016275612046,1243.34636677115,3.3,0.2,0.1,35.8194744076678
"27",18.9239731864338,399.400470112192,3,0.1,0,48.9981764193438
"28",17.3799697121705,1341.04577502873,4.9,0.2,0.1,42.1900458630844
"29",16.8493132321693,2371.01483152848,4.1,0.2,0,43.1574051792114
"30",17.9854086391783,778.146099513321,4.7,0.2,0,42.3986920562722
"31",17.1572234230848,1185.53967760791,3.7,0.1,0.1,38.1161044434807
"32",18.5634465878342,1468.65547824594,3.1,0.1,0,48.4197068460255
"33",17.3621005069177,129.926401526245,3.5,0,0,38.8771631341734
"34",17.9089523827238,2853.8910955606,4.2,0.1,0.1,42.4832334615191
"35",17.4982361776453,418.431597982243,3.7,0.1,0,43.9948211939473
"36",18.6407079764596,153.737966783498,4.7,0,0,45.6249035663003
"37",16.6544045641051,160.263896079658,4.4,0,0,35.3704070322478
"38",17.8486082918954,142.729988866482,3.9,0,0,41.3170420741393
"39",18.0229390806272,224.537659941799,6.3,0,0,41.9925307680208
"40",17.083978555788,1504.37861426786,3,0.2,0,40.6937583148468
"41",16.9466760418546,1302.91650220671,2.2,0.2,0,39.5410309331495
"42",18.6193348235282,1383.43463699049,4.5,0.3,0.1,50.5853209508193
"43",16.4647675907612,1610.28715705975,4.1,0.2,0.1,36.9429304405057
