"b_noapp_mu","b_noapp_sig","b_weekends_mu","b_weekends_sig","b_bookself_mu","b_bookself_sig","b_hospital_mu","b_hospital_sig","b_community_mu","b_community_sig","b_van_mu","b_van_sig","b_home_mu","b_home_sig","b_highrisk_mu","b_highrisk_sig","b_quesgen_mu","b_quesgen_sig","b_quesmam_mu","b_quesmam_sig","b_quesmamgen_mu","b_quesmamgen_sig","b_quesrad_mu","b_quesrad_sig","b_quesradgen_mu","b_quesradgen_sig","asc12_mu","asc12_sig","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10051.2038290246
0.0107006173151348,0.0777938374077303,0.00856769654258701,0.121617369642511,0.0141149194391386,0.00288020744300903,-0.00312430766155335,0.126836861919817,-0.00920552038465492,0.166356630734173,-0.00453342682887732,0.0712125418550503,-0.016242711315089,-0.0141467899421996,0.00122815407763739,-0.00553481993011295,0.0261317487409418,0.106190850970592,0.00643132911885298,-0.0622794304043597,0.0189071829506931,0.114498585389663,0.00685023436800659,-0.025742191311605,0.0109428683343241,0.156969938224989,0.0168642823372882,0.113889373685999,-9766.72326845947
-0.0840736988745232,0.219759570068901,0.0219588063445744,0.0663480533883384,0.0205399186322676,0.00680596746684415,-0.0454740293975363,0.107197383485477,-0.0419339654510189,0.169713503050201,0.0230102348177554,0.0823575874335241,0.0649682482901206,-0.0889510734176761,-0.00241560465041002,-0.0141428823620745,0.0980148144719151,0.0919660818986298,0.00871542154209505,-0.087554288270721,0.00208794144340874,0.187582213074798,0.00514737166501989,-0.0256471150708544,-0.0408653200292118,0.29446601247849,0.370833759521609,0.38918145708032,-8989.74949820885
-0.105426063774376,0.284016704375252,0.0413926451933566,0.0281979132639316,0.0315126100140545,-0.0027922477139827,-0.0816128912053863,0.0849401290013048,-0.0472633311191302,0.159007809367389,0.0512054077476015,0.109845831441201,0.101241776278002,-0.116489703551373,-0.00489486259327191,-0.0222320978809981,0.146016687429979,0.123509801299668,0.025939376478309,-0.0918752006216624,-0.00131307822062908,0.271206230528257,-0.00718520995752338,-0.144359961247667,-0.075231616618342,0.371760363059749,0.697908065333733,0.645679340417065,-8433.15976691442
-0.1066489440857,0.353637195624023,0.0642223435087323,-6.84958654290184e-05,0.0472105872976204,-0.0287841240577316,-0.108963906578585,0.0758003506718948,-0.0372975011595377,0.171051556005844,0.0773778005083962,0.114045005188014,0.107843858105033,-0.106494155339509,-0.00415702660971451,-0.0311902977159816,0.178498654780099,0.199421553939524,0.0570044435168735,-0.10960339459303,0.0138265029456315,0.350084401587826,-0.0318152264413446,-0.195138166868661,-0.0791066730957538,0.44117608108701,1.09794071365511,0.980339267643888,-7967.85585922418
-0.0935888585847188,0.42045785510163,0.0951076630768585,-0.0212729911989319,0.0686769827897055,-0.0975458005446026,-0.129732067944611,0.100354171384667,-0.0192641677955891,0.224863279943887,0.0939530548887399,0.100801182678294,0.102380425961464,-0.0765938969160555,0.000355522582514942,-0.0423145167808144,0.198384661610613,0.280133850756691,0.0935320667392863,-0.146165093362014,0.0603584098916908,0.445993966175894,-0.0653481460802515,-0.22780304493584,-0.0483995137811847,0.522258866902162,1.63998716445555,1.45353919538314,-7606.61438831112
-0.0835531630524306,0.448316171466229,0.135906309838551,-0.0209268055429716,0.0995732826472145,-0.154488247550218,-0.145901294893197,0.187010120492934,-0.00528903894663602,0.291079477722875,0.0883199768895804,0.0667057371086407,0.110159828175627,-0.0166930179688472,0.00782587632403329,-0.0574769158541494,0.201421264920698,0.318326332146047,0.115353378869028,-0.180027996280687,0.164930721805964,0.561798083634604,-0.105647081231836,-0.227621913191046,0.0240174938739322,0.623695946465747,2.33363671488143,2.07725427450728,-7369.46802154439
-0.10780848342263,0.402452824562814,0.166237760017706,-0.0397113372790455,0.130433004814364,-0.196781316054302,-0.167394409403517,0.306219107984115,-0.00454310125205698,0.291398004198156,0.0721531601249186,-0.00767586383303029,0.129931682457954,0.153624535756731,0.0178427411392215,-0.0738249644681376,0.176567688783197,0.289566645010395,0.119503703434802,-0.208024936617396,0.305033160937779,0.671093922755008,-0.145093187230227,-0.167089106929507,0.133712611361601,0.716907995275831,2.9682071491423,2.72415540909621,-7251.8221821938
-0.083822505003746,0.220588453460588,0.21318764691705,-0.185711200499995,0.144588714995833,-0.229687820153878,-0.236438512524228,0.411738097043945,-0.0528649919689562,0.186064774416046,0.0424369981987008,-0.0180308155630796,0.277940578609893,0.279777988727267,0.0302981905465432,-0.0931656011153999,0.161898680969434,0.209451452930924,0.0927962249741657,-0.309556411941602,0.41203654292658,0.793363282552053,-0.19059969733654,-0.169635289471226,0.294420932683912,0.724989337616413,3.78815054258053,3.70673011829002,-7201.42322623409
-0.104313491629467,0.152457386230408,0.204784713005275,-0.13386500104071,0.148432797645916,-0.217985972408135,-0.231534714254045,0.407458434402976,-0.0379603192379768,0.148220610740524,0.0445532350306498,-0.0402821259802017,0.229517313277375,0.257440843560853,0.0323820666860909,-0.0931138052532658,0.157998332181893,0.211240310747709,0.0924172000043436,-0.294533329918685,0.448963331370098,0.8322904199459,-0.160863152395911,-0.171629692734857,0.283542860249527,0.746872700961423,3.97347752782363,3.96106983701082,-7198.76312828223
