"","V1","V2","V3","V4","V5","V6","V7"
"1",15.7600028291676,14747.4152702632,0,0.99169874879692,0,2,36.1412482509667
"2",15.7838318792443,14646.7736822768,0,0.994834214320038,0,2,36.2104695198289
"3",15.7531701320803,14767.0299954784,0,0.990398638794361,0,2,36.1348072630967
"4",15.7608776939784,14480.2488678268,0,0.991573371855062,0,2,36.0797343267534
"5",15.7823610598688,14516.5886131228,0,0.991471734892788,0,2,36.1507026485567
"6",15.8122475408013,14585.0524992808,0,0.993189150436133,0,2,36.3163423057009
"7",15.8058603235972,14441.0369433365,0,0.991225932244699,0,2,36.2793151787868
"8",15.7412820023264,14663.7223277897,0,0.991456077015644,0,2,36.045063404982
"9",15.7901227024568,14520.741971761,0,0.992664742664743,0,2,36.263951111911
"10",15.760615787714,14591.3003451264,0,0.991926605504587,0,2,36.1062463758241
